candidate_id,tier,stratum,current_title,reason
CAND_0046525,5,A_top_1_10,Senior Machine Learning Engineer,"Search/retrieval/ranking specialist: hybrid BM25+dense, LinkedIn RAG ranking, high assessments; Pune, active. Ideal fit."
CAND_0064326,5,A_top_1_10,Search Engineer,"Search Engineer with LTR + RAG + semantic search at product cos; exp>grad flag is benign (worked in final year). Ideal fit."
CAND_0000031,5,A_top_1_10,Recommendation Systems Engineer,"Recsys+search specialist: keyword to embedding retrieval migration; FAISS/Pinecone/Embeddings/IR at expert level."
CAND_0077337,5,A_top_1_10,Staff Machine Learning Engineer,"Hybrid retrieval + semantic search over 35M + recsys + LTR; BM25/IR/RAG expert at Paytm. Ideal fit."
CAND_0018499,5,A_top_11_50,Senior Machine Learning Engineer,"RAG ranking + BM25+dense FAISS + LLM re-ranker + LoRA candidate-JD matching (Redrob's exact domain); Google/Flipkart; github 94."
CAND_0010257,4,A_top_11_50,Senior Data Scientist,"Google; recsys via sentence-transformer embeddings + a search stint + explicit eval-rigor focus; strong, current work leans churn."
CAND_0050454,4,A_top_11_50,AI Engineer,"Semantic search (sentence-transformers+FAISS) + LTR at Uber/Adobe; FAISS/QLoRA/BM25 expert. Strong; last active Apr, github -1."
CAND_0009691,4,A_top_51_100,Applied ML Engineer,"LinkedIn recsys serving 10M (CF+content ranking); Recommendation/Fine-tuning/LoRA expert. Strong recsys, Indore."
CAND_0075249,4,A_top_51_100,Applied ML Engineer,"Recsys + Sentence Transformers/Milvus/BM25/Pinecone all expert-level; strong retrieval, product co (Zomato)."
CAND_0018549,4,A_top_51_100,Recommendation Systems Engineer,"Uber; ranking + Weaviate/Elasticsearch/Qdrant/Milvus expert; strong retrieval/recsys, Coimbatore."
CAND_0008295,3,A_top_1_10,AI Research Engineer,"Generalist applied ML/DS (classical methods, CF, NLP classification); some BM25 but self-describes 'lighter on deep learning'; TCS stint. Relevant, not specialist; likely over-ranked at #1."
CAND_0072688,3,A_top_1_10,Data Scientist,"Data Scientist doing churn/LTV + CV image moderation; generalist, weak on retrieval/ranking. Relevant."
CAND_0004402,3,A_top_1_10,AI Research Engineer,"Recsys CF but skills lean TTS/speech/CV; mixed generalist with some LTR/OpenSearch. Relevant."
CAND_0048558,3,A_top_1_10,Data Scientist,"Fraud-detection engineering + CV prior; some retrieval (OpenSearch/Qdrant); generalist DS. Relevant."
CAND_0010149,3,A_top_1_10,ML Engineer,"CV-leaning (image moderation, diffusion, object detection) plus some vector search/LTR; generalist. Relevant."
CAND_0010603,3,A_top_1_10,ML Engineer,"Fraud-detection eng + recsys; some IR exposure; 5.3y generalist. Relevant."
CAND_0077956,2,A_top_11_50,Computer Vision Engineer,"CV specialty is off-target per JD; has some retrieval skills but CV-led + churn work. Adjacent."
CAND_0033445,3,A_top_11_50,ML Engineer,"CV+NLP generalist with IR/semantic-search exposure at product cos. Relevant."
CAND_0066690,3,A_top_11_50,ML Engineer,"4.8y; NLP + Sentence Transformers/Semantic Search; relevant but junior."
CAND_0054546,3,A_top_11_50,AI Research Engineer,"4.9y single job; NLP with BM25/LTR exposure; relevant, junior."
CAND_0063862,2,A_top_11_50,ML Engineer,"Currently at Tech Mahindra (IT services, JD-disfavored); some retrieval skills but services context. Adjacent."
CAND_0086154,3,A_top_11_50,Data Scientist,"Fraud-detection eng; OpenSearch/OpenCV/Kubeflow; generalist DS/MLE. Relevant."
CAND_0064888,3,A_top_11_50,ML Engineer,"CV moderation + embeddings/LTR/Elasticsearch; generalist. Relevant."
CAND_0063622,2,A_top_11_50,Computer Vision Engineer,"CV specialty off-target per JD; some LTR/vector but CV-led. Adjacent; likely over-ranked at #11."
CAND_0054100,3,A_top_11_50,Junior ML Engineer,"'Junior' title but 6.0y; CV+NLP with vector/semantic-search exposure; generalist. Relevant."
CAND_0011327,3,A_top_51_100,AI Research Engineer,"Fraud-detection eng; weak retrieval (Sentence Transformers/Semantic Search intermediate); generalist. Relevant."
CAND_0086893,2,A_top_51_100,ML Engineer,"3.9y; CV/speech/ASR-leaning skills; junior + off-target lean. Adjacent."
CAND_0043829,3,A_top_51_100,AI Research Engineer,"4.8y single job; fraud eng, speech-leaning but Qdrant/MLflow; relevant junior."
CAND_0038949,3,A_top_51_100,ML Engineer,"CRED; churn modeling, weak retrieval; generalist. Relevant."
CAND_0040946,2,A_top_51_100,AI Research Engineer,"Currently at TCS (IT services, JD-disfavored); churn work; generalist. Adjacent."
CAND_0042441,3,B_strong_missed,AI Research Engineer,"4.1y; some retrieval (Sentence Transformers/RAG/FAISS); junior but relevant. Missed by pipeline."
CAND_0033405,3,B_strong_missed,ML Engineer,"4.7y at Sarvam AI; LTR/Qdrant; relevant junior. Missed by pipeline."
CAND_0017093,3,B_strong_missed,ML Engineer,"Embeddings/LLMs generalist; relevant. Missed by pipeline."
CAND_0036121,3,B_strong_missed,ML Engineer,"Embeddings/vector search/BM25; relevant. Missed by pipeline."
CAND_0045475,2,B_strong_missed,ML Engineer,"CV/speech-leaning (Speech adv, Photoshop, YOLO, Image Classification); off-target. Adjacent."
CAND_0021827,3,B_strong_missed,AI Research Engineer,"4.4y; embeddings but diffusion/object-detection leaning; junior. Relevant-adjacent."
CAND_0089829,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: Senior SWE(ML) at Swiggy with pgvector/Qdrant/PEFT; title undersells, product co. Missed by pipeline."
CAND_0001608,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: Razorpay; Haystack (retrieval) + Kubeflow; title undersells. Missed by pipeline."
CAND_0087783,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: 6.7y at Meesho; embeddings/LLMs/MLOps; product co. Missed by pipeline."
CAND_0014683,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: Rephrase.ai; QLoRA/ASR/BentoML; mixed but relevant. Missed by pipeline."
CAND_0082086,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language retrieval fit: Razorpay; FAISS/Pinecone; title undersells. Missed by pipeline."
CAND_0054271,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: Verloop; Haystack/HF Transformers/embeddings; relevant. Missed by pipeline."
CAND_0045778,3,B_plain_language_fit,Senior Software Engineer (ML),"Plain-language fit: 4.4y at PhonePe; Milvus/LLMs; junior but relevant. Missed by pipeline."
CAND_0054123,0,B_strong_missed,Applied ML Engineer,"HONEYPOT: LangChain 82m > 55m career (impossible; framework isn't that old). Strong-looking Meta recsys profile but internally impossible."
CAND_0095884,0,B_plain_language_fit,Senior Software Engineer (ML),"HONEYPOT (marginal - AUDIT): Feature Engineering 59m > 45m career; otherwise a plausible junior SWE(ML) at Sarvam. Calibration case."
CAND_0006367,0,C_honeypot,QA Engineer,"HONEYPOT: QA Engineer 1.0y claiming Sentence Transformers advanced for 49m (>>12m career); ML skill stuffed on a QA profile."
CAND_0003710,0,C_honeypot,Data Analyst,"HONEYPOT: Data Analyst 2.8y with Time Series 56m > 33m career; also abroad (London)."
CAND_0004963,0,C_honeypot,Software Engineer,"HONEYPOT: Software Engineer 2.2y with dbt 36m > 26m career (impossible)."
CAND_0017164,0,C_honeypot,Junior ML Engineer,"HONEYPOT: Junior ML Engineer 3.2y with MLOps 59m > 38m career (impossible)."
CAND_0007485,0,C_honeypot,Senior Software Engineer,"HONEYPOT: Senior SWE 2.3y with Speech Recognition 60m and CNN 60m > 27m career (impossible)."
CAND_0002595,0,C_honeypot,Software Engineer,"HONEYPOT: Software Engineer 2.9y with Qdrant 47m > 34m career (impossible)."
CAND_0051310,0,C_offtarget,Computer Vision Engineer,"HONEYPOT: OpenCV 58m > 42m career (impossible). Also CV specialty off-target."
CAND_0013153,0,C_offtarget,Computer Vision Engineer,"HONEYPOT: Kubeflow 51m > 38m career (impossible). Also CV specialty off-target."
CAND_0004699,0,C_generic_irrelevant,.NET Developer,"HONEYPOT: .NET Developer 1.8y with Webpack 32m > 21m career (impossible); irrelevant role."
CAND_0012412,1,C_offtarget,DevOps Engineer,"DevOps/Frontend/Java career, no ML/IR; off-domain; 9.8y over band."
CAND_0048482,1,C_offtarget,Data Analyst,"Data Analyst at Accenture (consulting) in Singapore (no visa sponsorship); off-domain, stuffed skills."
CAND_0048219,1,C_offtarget,Computer Vision Engineer,"CV/ASR specialty (off-target per JD); not an IR/NLP fit."
CAND_0010634,1,C_generic_irrelevant,QA Engineer,"QA/mobile career, no ML/IR; off-domain."
CAND_0000761,1,C_generic_irrelevant,Java Developer,"Java/QA career; no ML/IR; off-domain."
CAND_0013384,1,C_generic_irrelevant,DevOps Engineer,"DevOps abroad (Toronto, no visa) with IT-services history; off-domain."
